"iso3","year","polyarchy"
"SLB",2013,0.582
"SLB",2018,0.623
"SLB",2023,0.666
"VUT",2003,0.62
"VUT",2008,0.653
"VUT",2013,0.745
"VUT",2018,0.79
"VUT",2023,0.82
"ARE",2003,0.025
"ARE",2008,0.071
"ARE",2013,0.091
"ARE",2018,0.096
"ARE",2023,0.102
"HUN",2003,0.843
"HUN",2008,0.85
"HUN",2013,0.738
"HUN",2018,0.481
"HUN",2023,0.434
"ZZB",2003,0.297
"ZZB",2008,0.299
"ZZB",2013,0.333
"ZZB",2018,0.271
"ZZB",2023,0.291
